Projects, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Plan Type (Project), Aggregation (Project), Data Storage (Project), Formula (Project), Formula Description (Project), Plan Type (Plus), Aggregation (Plus), Data Storage (Plus), Formula (Plus), Solve Order (Plus), Formula Description (Plus), A_Customer, A_ProjectType, A_StartYear, A_StartMonth, A_IsClosed, A_Entity, A_BU, Operation
WIPEHCA1806136000,AllProject,2018年百事南区Q3 Temp MD理货员活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,9d2af2bd-2c06-4594-846d-80271f2b7824,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1808153600,AllProject,2018 P8 沃尔玛星爆活动-南区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,08bdde42-2994-4174-8c7d-39aea4e31451,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1807156000,AllProject,FY1819 REJ JAS Mini event,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c7cee856-8666-4f22-b6ea-5f35b4fa0618,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1808156100,AllProject,FY1819 VS JAS Mini event,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2ac096f5-856b-4c0c-a6c5-65229000597b,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSHJHSP1806158300,AllProject,2018年亨氏M6PG长促项目 - 非人力,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,6e9be2ad-e0bd-433c-a7c5-e6c3ed5e237d,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMHHSP1807158900,AllProject,2018年MHD 7月短促工资发放,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7ddb3fe3-006a-4f10-8df4-8012dc98040d,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1808158700,AllProject,Y18玛氏淡季P9 Dove Yogurt & TD活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,cec64141-756a-49b9-8df0-3a95390bbab7,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1808158800,AllProject,Y18玛氏淡季P8 CVD heavy up活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,337ae5f8-2fe6-4f3a-a597-0125d513092b,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
HVHEHCA1807156200,AllProject,Y18好时Q3卖进费,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,59cd0b39-1794-478c-8cd5-0af2c603bde0,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIQHHSP1807151300,AllProject,Y18侨好店内试吃活动8月,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5dbaaf24-db2b-46fa-9500-70bf29a80444,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
